threshold,EQD_c0,EQD_c1,EQD_c2,deferral_rate
0.0,0.2134502923976608,0.3364576599870717,0.20582047685834504,0.17534301856335754
0.09,0.2134502923976608,0.3364576599870717,0.20582047685834504,0.17534301856335754
0.18,0.2134502923976608,0.3364576599870717,0.20582047685834504,0.17534301856335754
0.27,0.2134502923976608,0.3364576599870717,0.20582047685834504,0.17534301856335754
0.36,0.2134502923976608,0.3364576599870717,0.20582047685834504,0.17534301856335754
0.44999999999999996,0.2134502923976608,0.3364576599870717,0.20582047685834504,0.17534301856335754
0.54,0.2134502923976608,0.3364576599870717,0.20582047685834504,0.17534301856335754
0.63,0.2134502923976608,0.3364576599870717,0.20582047685834504,0.17534301856335754
0.72,0.2134502923976608,0.3364576599870717,0.20582047685834504,0.17534301856335754
0.8099999999999999,0.2134502923976608,0.3364576599870717,0.20582047685834504,0.17534301856335754
0.8999999999999999,0.2134502923976608,0.3364576599870717,0.20582047685834504,0.17534301856335754
0.99,0.2134502923976608,0.3364576599870717,0.20582047685834504,0.17534301856335754
