threshold,EQD_c0,EQD_c1,EQD_c2,deferral_rate
0.0,0.028444013782976493,0.03020278553009763,0.016812653078168482,0.8503937007874016
0.09,0.06367637419234011,0.06107154428106154,0.0040631223696166036,0.6748435291742378
0.18,0.1397290632705934,0.13578457209316508,0.03856532027066295,0.4163133454472037
0.27,0.21621128287808525,0.20742689625431787,0.05226451907509655,0.2455077730668282
0.36,0.24174018899343286,0.22212213215083793,0.07210760097970026,0.12780133252574197
0.44999999999999996,0.2589214101629773,0.23578108733245928,0.03487068786583086,0.07470220068645265
0.54,0.30121286393042834,0.2673290615975014,0.03628212046992407,0.03725015142337977
0.63,0.3446734821558226,0.29990460467567764,0.08618041429698203,0.012921461740359378
0.72,0.36044939886082805,0.30887917027847595,0.11445057910249495,0.0024227740763173833
0.8099999999999999,0.36646554052311797,0.3150363068506039,0.11586201170658811,0.00010094891984655764
0.8999999999999999,0.36646554052311797,0.3150363068506039,0.11586201170658811,0.00010094891984655764
0.99,0.3673863508361934,0.31619237621476576,0.11586201170658811,0.0
