threshold,EQD_c0,EQD_c1,EQD_c2,deferral_rate
0.0,0.0648401101443847,0.05849764777879457,0.04209390178089578,0.6753482737734706
0.09,0.0648401101443847,0.05849764777879457,0.04209390178089578,0.6753482737734706
0.18,0.0648401101443847,0.05849764777879457,0.04209390178089578,0.6753482737734706
0.27,0.17317476667603088,0.15450470660492832,0.014072813317281718,0.34282253179890976
0.36,0.17317476667603088,0.15450470660492832,0.014072813317281718,0.34282253179890976
0.44999999999999996,0.25284759062551315,0.2343680168662418,0.018888289260658442,0.14223702806379973
0.54,0.25284759062551315,0.2343680168662418,0.018888289260658442,0.14223702806379973
0.63,0.3112223502444863,0.2791637445496165,0.07650794968657898,0.04149000605693519
0.72,0.3112223502444863,0.2791637445496165,0.07650794968657898,0.04149000605693519
0.8099999999999999,0.34467755353524665,0.3047257711122049,0.10494416538669105,0.00686452654956592
0.8999999999999999,0.34467755353524665,0.3047257711122049,0.10494416538669105,0.00686452654956592
0.99,0.34467755353524665,0.3047257711122049,0.10494416538669105,0.00686452654956592
