threshold,EQD_c0,EQD_c1,EQD_c2,deferral_rate
0.0,0.13629010478373513,0.12792338753588217,0.043754410726887794,0.5161518271754493
0.09,0.13629010478373513,0.12792338753588217,0.043754410726887794,0.5161518271754493
0.18,0.13629010478373513,0.12792338753588217,0.043754410726887794,0.5161518271754493
0.27,0.13629010478373513,0.12792338753588217,0.043754410726887794,0.5161518271754493
0.36,0.13629010478373513,0.12792338753588217,0.043754410726887794,0.5161518271754493
0.44999999999999996,0.13629010478373513,0.12792338753588217,0.043754410726887794,0.5161518271754493
0.54,0.3030653415683768,0.2766115929276781,0.0603595001868073,0.11064001615182717
0.63,0.3030653415683768,0.2766115929276781,0.0603595001868073,0.11064001615182717
0.72,0.3030653415683768,0.2766115929276781,0.0603595001868073,0.11064001615182717
0.8099999999999999,0.3030653415683768,0.2766115929276781,0.0603595001868073,0.11064001615182717
0.8999999999999999,0.3030653415683768,0.2766115929276781,0.0603595001868073,0.11064001615182717
0.99,0.3030653415683768,0.2766115929276781,0.0603595001868073,0.11064001615182717
