threshold,EQD_c0,EQD_c1,EQD_c2,deferral_rate
0.0,0.02385752808570074,0.030736025020581925,0.0394786001909585,0.887946698970321
0.09,0.07361868274590114,0.08393263957555619,0.06716758686537416,0.6214415505754088
0.18,0.15102035553999385,0.1578357022446214,0.11781310971812853,0.355542095699576
0.27,0.20202863265436297,0.2048664683257032,0.17530823197309975,0.18524126791843326
0.36,0.21700045192311607,0.21772044378427585,0.1565859936070405,0.112961841308298
0.44999999999999996,0.2764799124924849,0.2602040327393268,0.06803935406202,0.046436503129416516
0.54,0.33123453724022905,0.2943895352636004,0.04097305824235131,0.01615182717544922
0.63,0.3500802740309778,0.3102491168309586,0.05737058408402179,0.005955986270946901
0.72,0.36530451882402276,0.3218098104725771,0.0911619411349579,0.0016151827175449223
0.8099999999999999,0.3708293807024758,0.3264340879292245,0.10473660176844207,0.0
0.8999999999999999,0.3708293807024758,0.3264340879292245,0.10473660176844207,0.0
0.99,0.3708293807024758,0.3264340879292245,0.10473660176844207,0.0
